,0
0,01
1,01
2,01
3,01
4,02
5,02
6,02
7,02
8,02
9,02
10,02
11,02
12,03
13,03
14,03
15,03
16,03
17,03
18,03
19,03
20,04
21,04
22,04
23,04
24,04
25,04
26,05
27,04
28,04
29,05
30,05
31,05
32,05
33,05
34,05
35,05
36,06
37,06
38,06
39,06
40,06
41,06
42,06
43,06
44,07
45,07
46,07
47,07
48,07
49,07
50,07
51,07
52,08
53,08
54,08
55,08
56,08
57,08
58,08
59,08
60,01
61,01
62,01
63,01
64,02
65,02
66,02
67,02
68,02
69,02
70,02
71,02
72,03
73,03
74,03
75,03
76,03
77,03
78,03
79,03
80,04
81,04
82,04
83,04
84,04
85,04
86,04
87,04
88,05
89,05
90,05
91,05
92,05
93,05
94,05
95,05
96,06
97,06
98,06
99,06
100,06
101,06
102,06
103,06
104,07
105,07
106,07
107,07
108,07
109,07
110,07
111,07
112,08
113,08
114,08
115,08
116,08
117,08
118,08
119,08
120,01
121,01
122,01
123,01
124,02
125,02
126,02
127,02
128,02
129,02
130,02
131,02
132,03
133,03
134,03
135,03
136,03
137,03
138,03
139,03
140,04
141,04
142,04
143,04
144,04
145,04
146,04
147,05
148,04
149,05
150,05
151,05
152,05
153,05
154,05
155,05
156,06
157,06
158,06
159,06
160,06
161,06
162,06
163,07
164,06
165,07
166,07
167,07
168,07
169,07
170,07
171,07
172,08
173,08
174,08
175,08
176,08
177,08
178,08
179,08
180,01
181,01
182,01
183,01
184,02
185,02
186,02
187,02
188,02
189,02
190,02
191,02
192,03
193,03
194,03
195,03
196,03
197,03
198,03
199,03
200,04
201,04
202,04
203,04
204,04
205,04
206,04
207,04
208,05
209,05
210,05
211,05
212,05
213,05
214,05
215,05
216,06
217,06
218,06
219,06
220,06
221,06
222,06
223,06
224,07
225,07
226,07
227,07
228,07
229,07
230,07
231,07
232,08
233,08
234,08
235,08
236,08
237,08
238,08
239,08
240,01
241,01
242,01
243,02
244,01
245,02
246,02
247,02
248,02
249,02
250,02
251,02
252,03
253,03
254,03
255,03
256,03
257,03
258,03
259,03
260,04
261,04
262,04
263,04
264,04
265,04
266,04
267,04
268,05
269,05
270,05
271,05
272,05
273,05
274,05
275,05
276,06
277,06
278,06
279,06
280,06
281,06
282,06
283,06
284,07
285,07
286,07
287,07
288,07
289,07
290,07
291,07
292,08
293,08
294,08
295,08
296,08
297,08
298,08
299,08
300,01
301,01
302,01
303,01
304,02
305,02
306,02
307,02
308,02
309,02
310,02
311,02
312,03
313,03
314,03
315,03
316,03
317,03
318,03
319,04
320,03
321,04
322,04
323,04
324,04
325,04
326,04
327,04
328,05
329,05
330,05
331,05
332,05
333,05
334,05
335,06
336,05
337,06
338,06
339,06
340,06
341,06
342,06
343,06
344,07
345,07
346,07
347,07
348,07
349,07
350,07
351,07
352,08
353,08
354,08
355,08
356,08
357,08
358,08
359,08
360,01
361,01
362,01
363,01
364,02
365,02
366,02
367,02
368,02
369,02
370,02
371,02
372,03
373,03
374,03
375,03
376,03
377,03
378,03
379,03
380,04
381,04
382,04
383,04
384,04
385,04
386,04
387,04
388,05
389,05
390,05
391,05
392,05
393,05
394,05
395,05
396,06
397,06
398,06
399,06
400,06
401,06
402,06
403,07
404,06
405,07
406,07
407,07
408,07
409,07
410,07
411,07
412,08
413,08
414,08
415,08
416,08
417,08
418,08
419,08
420,01
421,01
422,01
423,01
424,02
425,02
426,02
427,02
428,02
429,02
430,02
431,02
432,03
433,03
434,03
435,03
436,03
437,03
438,03
439,03
440,04
441,04
442,04
443,04
444,04
445,04
446,04
447,04
448,05
449,05
450,05
451,05
452,05
453,05
454,05
455,05
456,06
457,06
458,06
459,06
460,06
461,06
462,06
463,06
464,07
465,07
466,07
467,07
468,07
469,07
470,07
471,07
472,08
473,08
474,08
475,08
476,08
477,08
478,08
479,08
480,04
481,01
482,01
483,01
484,01
485,02
486,02
487,02
488,02
489,02
490,02
491,02
492,02
493,03
494,03
495,03
496,03
497,03
498,03
499,03
500,04
501,03
502,04
503,04
504,04
505,04
506,04
507,04
508,04
509,05
510,05
511,05
512,05
513,05
514,05
515,05
516,05
517,06
518,06
519,06
520,06
521,06
522,06
523,06
524,06
525,07
526,07
527,07
528,07
529,07
530,07
531,07
532,07
533,08
534,08
535,08
536,08
537,08
538,08
539,08
540,08
541,01
542,01
543,01
544,01
545,02
546,02
547,02
548,02
549,02
550,02
551,02
552,02
553,03
554,03
555,03
556,03
557,03
558,03
559,03
560,03
561,04
562,04
563,04
564,04
565,04
566,04
567,04
568,04
569,05
570,05
571,05
572,05
573,05
574,05
575,05
576,05
577,06
578,06
579,06
580,06
581,06
582,06
583,07
584,06
585,06
586,07
587,07
588,07
589,07
590,07
591,07
592,07
593,08
594,08
595,08
596,08
597,08
598,08
599,08
600,08
601,01
602,01
603,01
604,01
605,02
606,02
607,02
608,02
609,02
610,02
611,02
612,02
613,03
614,03
615,03
616,03
617,03
618,03
619,03
620,03
621,04
622,04
623,04
624,04
625,04
626,04
627,04
